width	length
56	73
64	80
63	78
51	65
57	71
62	76
58	73
60	75
62	77
58	71
63	77
59	74
58	73
55	69
62	76
63	78
56	71
60	75
59	71
58	71
51	66
56	72
53	67
58	72
55	68
55	68
62	76
59	71
52	68
52	65
64	80
64	76
57	71
53	65
61	77
62	76
63	77
64	76
64	77
64	78
62	80
53	68
59	71
57	70
53	69
58	72
57	75
64	78
65	78
51	66
62	80
64	80
52	68
59	72
65	79
64	79
60	70
64	79
51	66
60	75
57	72
52	65
65	80
53	65
57	70
60	71
61	79
59	75
58	75
54	69
57	75
63	80
57	70
51	65
62	78
59	70
58	73
61	78
61	77
56	71
55	66
55	65
58	75
56	71
63	76
59	74
53	68
55	66
61	77
64	78
62	76
53	69
59	70
57	71
60	70
58	75
58	74
63	79
52	66
58	70
61	80
58	70
60	70
56	71
52	65
53	67
55	67
56	75
57	74
51	67
56	71
52	67
61	80
63	78
55	69
64	78
63	76
53	69
52	67
58	72
65	79
51	65
60	72
61	76
54	68
57	75
59	72
51	68
61	77
53	65
60	70
62	80
65	80
51	65
52	66
63	76
61	76
64	77
54	65
56	71
59	71
52	66
55	68
63	76
54	68
57	74
51	66
54	65
60	70
65	78
63	76
55	69
57	71
55	67
52	69
62	76
54	68
63	79
62	78
60	73
55	68
58	74
51	67
65	77
55	65
61	79
58	71
55	66
64	77
65	76
54	68
63	76
58	73
52	67
55	68
52	66
54	65
53	69
60	70
53	65
59	74
62	79
58	72
55	68
57	71
52	66
55	69
56	70
59	73
56	70
59	70
65	78
55	67
51	67
61	79
54	67
64	78
63	79
53	67
63	76
58	72
61	79
63	77
58	73
65	79
52	69
60	74
53	67
60	71
61	80
57	74
64	76
65	80
53	66
61	78
54	68
56	72
53	65
60	72
65	77
51	68
56	70
62	77
59	75
63	77
60	72
65	80
54	65
61	80
62	79
65	77
56	73
57	73
51	67
63	77
52	65
51	69
65	80
54	69
63	78
59	70
61	78
55	67
53	66
53	67
65	79
52	67
59	72
55	66
56	74
58	75
53	68
64	78
51	68
54	68
54	68
61	78
51	67
65	80
58	70
55	68
52	66
59	70
63	76
61	79
53	66
61	79
61	77
63	79
61	76
58	71
61	79
52	67
60	71
63	78
52	66
61	80
56	75
53	67
58	74
61	77
55	67
64	79
59	70
54	65
52	65
65	76
65	77
59	73
61	79
61	79
62	76
52	65
63	77
58	73
54	66
55	66
60	70
62	79
64	80
62	79
52	69
63	80
51	67
55	67
58	74
57	74
59	71
56	73
61	76
53	68
51	69
52	66
63	78
60	75
62	79
60	71
54	66
64	79
55	69
61	80
54	68
59	71
58	75
60	71
65	78
55	65
56	74
55	69
58	75
59	74
54	66
56	74
57	74
54	66
64	77
52	68
56	71
51	68
54	65
54	68
61	77
60	75
65	78
64	76
51	69
56	74
58	75
60	74
59	70
62	79
59	72
56	73
64	78
65	76
65	80
55	67
52	65
62	79
61	76
59	70
52	66
52	69
55	69
55	65
65	78
53	68
57	75
51	65
58	71
60	70
51	67
55	69
57	75
64	76
64	76
54	68
64	80
65	80
63	80
58	72
52	69
62	79
64	79
61	79
57	75
65	79
57	75
56	73
54	68
65	77
61	76
62	80
57	75
52	69
64	80
53	69
57	70
62	77
57	70
53	65
65	79
63	80
53	67
57	74
57	75
51	67
65	78
63	79
56	71
51	67
63	78
60	72
52	66
62	79
52	67
58	75
64	77
53	65
55	65
53	65
56	71
53	69
65	79
53	69
55	66
61	77
58	75
55	67
51	66
60	75
58	72
63	77
62	79
65	76
55	68
52	67
65	80
52	65
60	72
52	69
54	65
65	79
59	73
62	76
53	68
63	76
63	80
53	65
64	78
53	69
58	72
60	72
59	72
62	77
63	79
59	70
60	70
58	70
57	71
51	68
59	75
65	79
61	78
63	77
59	71
52	65
62	77
63	79
53	66
51	66
57	71
57	75
58	71
57	70
56	70
54	69
65	77
53	69
61	76
61	78
56	72
52	66
54	67
56	74
64	79
61	78
62	76
52	66
55	68
52	68
57	73
57	72
53	67
61	79
63	78
59	71
53	65
63	80
60	75
